Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C13, C14, C15, C16, C19, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C33, C36, C40, C41, C42, C7, C8",0402,23,100n,
"C11, C31",CP_Elec_6.3x7.7,2,470u,
"C12, C17, C18, C3, C32",0402,5,1u,
"C2, C20, C35, C43, C44, C45",0805,6,10u,
C34,0402,1,10n,
"C37, C38",0805,2,22u,
C4,0402,1,100nF,
"C5, C6, C9",0805,3,10uF,
CR1,D_SMB,1,SMBJ5.0A,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D6, D7, D70, D8, D9",1206,51,LED,
D129,SOT-23,1,SM712_SOT23,
D35,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D68,SOT-23,1,PESD1CAN,
D69,DIO_PESD5V0S1UL_315,1,PESD5V0S1UL_315,
FB1,1206,1,Murata BLM31SN500SH1L,
J1,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C,
J2,PinHeader_1x09_P2.54mm_Vertical,1,TFT Screen,
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,P_IN,
J4,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,OBD2,
J5,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,RS485,
J6,PinHeader_1x04_P2.54mm_Vertical,1,NEO-7M,
J7,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J8,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,1,BUTTONS,
L1,L_Cenker_CKCS6045,1,3.9u,
LED1,ZHIHAO FJ5361BH,1,Fuel Consumption,
LED2,ZHIHAO FJ5361BH,1,Warm/Load,
"Q1, Q2",SOT-23,2,AO3400A,
"R1, R10, R13, R14, R16, R23, R5",0402,7,10k,
R11,0402,1,330,
R12,0402,1,100k,
"R15, R25, R26, R28, R29",0402,5,47k,
"R17, R2, R4",0402,3,3.32k,
"R19, R20",0402,2,4.7k,
"R21, R22",0402,2,5.1k,
R24,0402,1,120,
R27,0402,1,1M,
R3,0402,1,9.53k,
R30,0402,1,147k,
R31,0402,1,10.5k,
R32,0402,1,31.2k,
R33,0402,1,18k,
"R34, R7, R8",0402,3,220,
"R6, R9",0402,2,100,
SW1,SW_PUSH_6mm,1,SW_Push_Dual_x2,
TP1,TestPoint_Pad_D2.0mm,1,DOUT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R2,
U10,RVC0020A,1,TPS25940ARVCR,
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3485,
U13,USON-10_2.5x1.0mm_P0.5mm,1,TPD4E05U06DQA,
U14,Texas_DRT-3,1,TPD2EUSB30,
U15,SOIC127P600X175-16N,1,74HC595,
U16,QFN-20-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,MCP23008-xML,
U17,TSOT-23-6,1,AP63203WU,
"U2, U4, U7",DBQ24,3,TLC59281DBQ,TLC59281DBQ
U3,ARKLED SM411006N_15,1,Gear,
U5,21-0042_W24&plus_1_MXM,1,MAX7219,
U6,SOIC-14_NB_ONS,1,MC74HCT125ADR2G,
U9,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSOXTR,
